 accepted jumps :   0.990859985    
 lattice occupation :    9.76562500E-03
           1  0.49429992399898665       0.49580661075481008     
           2  0.98717299127976743       0.99106642843809167     
           3   1.4796458525007667        1.4858194327773111     
           4   1.9719718384980531        1.9821590484825857     
           5   2.4666444429628642        2.4756983798919929     
           6   2.9601168093447474        2.9701976158092647     
           7   3.4530556185243957        3.4658434787246808     
           8   3.9458875613398763        3.9630893962022617     
           9   4.4386126335160219        4.4620687815871234     
          10   4.9317642352313644        4.9601413521802904     
          11   5.4251556895011266        5.4591206710317515     
          12   5.9198271723475759        5.9578865951885636     
          13   6.4116980276581277        6.4573192686732366     
          14   6.9054223455044941        6.9567385912036910     
          15   7.3999199839967993        7.4548509701940384     
          16   7.8928438066787585        7.9538434866104772     
          17   8.3859408132510040        8.4509822226371316     
          18   8.8784641647328684        8.9485876610386494     
          19   9.3708672863792160        9.4452728024432862     
          20   9.8653640970925576        9.9391437716724464     
          21   10.360260873044453        10.432561117112792     
          22   10.854717383765905        10.926258369121609     
          23   11.349027034957388        11.420262213745549     
          24   11.845203798548869        11.915039479300043     
          25   12.338779593197733        12.409669889963322     
          26   12.832528609918105        12.903033051457840     
          27   13.325530524322089        13.398263374814933     
          28   13.818585605292643        13.895414288000854     
          29   14.313281135372344        14.391738138746982     
          30   14.806509270374816        14.887821795384820     
          31   15.299590497405594        15.383905347543651     
          32   15.792231352043538        15.878294739088679     
          33   16.286352661837874        16.372723998559366     
          34   16.781127444441481        16.866899661179733     
          35   17.276782498499301        17.360915093710400     
          36   17.772023904807639        17.853876527399819     
          37   18.267772100903112        18.348918799941305     
          38   18.763733625036686        18.843053813932393     
          39   19.256680140339643        19.338335934686036     
          40   19.752147812166488        19.834271611526148     
          41   20.247815472458278        20.332248295735003     
          42   20.741121694815764        20.829197684036394     
          43   21.235148151606921        21.324626118974880     
          44   21.729027696248465        21.821455253748866     
          45   22.221733039823896        22.316656660663064     
          46   22.715665608239721        22.812791845665341     
          47   23.209344522567477        23.309527303777035     
          48   23.702276123385634        23.804848436332588     
          49   24.196368293952048        24.299035369774920     
          50   24.693102068045363        24.793355570380253     
          51   25.189795727761545        25.286301351585745     
          52   25.685421892512142        25.778819981854085     
          53   26.181194710929056        26.272259063071235     
          54   26.677167560643664        26.765524510981241     
          55   27.175181799986657        27.257735672826740     
          56   27.673195986336463        27.748558923996583     
          57   28.171823919512164        28.239168434677023     
          58   28.671385871740814        28.728923700995438     
          59   29.170187213941634        29.218745413058272     
          60   29.668521483853748        29.707859621030156     
          61   30.167015839549499        30.196866784985122     
          62   30.663828765112491        30.685366569697617     
          63   31.161122009154358        31.175093745412813     
          64   31.660003202732998        31.664593786697981     
          65   32.158083672516177        32.155801694802165     
          66   32.655536872447755        32.647956868711134     
          67   33.151268466496738        33.138043318698038     
          68   33.648401217103505        33.629477392836172     
          69   34.144826573781209        34.122339218747918     
          70   34.641758975043373        34.616428666755638     
          71   35.137997304114563        35.107421692535603     
          72   35.636477685244500        35.599535554131968     
          73   36.135158220668117        36.091475703017601     
          74   36.635079945546273        36.584496703414032     
          75   37.133506840173510        37.077170503837173     
          76   37.631573327638677        37.569323581228979     
          77   38.129532987200193        38.060782403267353     
          78   38.626478203998822        38.553415552174265     
          79   39.123650244924654        39.046128588780185     
          80   39.620955686065138        39.538707955152162     
          81   40.118501314753267        40.032274856845390     
          82   40.615619744253721        40.523999572866337     
          83   41.114406609981714        41.015230188074803     
          84   41.612659511986756        41.506353782903517     
          85   42.112140425815923        41.998251351531735     
          86   42.611648023066451        42.492124302533568     
          87   43.109980911190313        42.989040620453061     
          88   43.608914459632636        43.485382849209742     
          89   44.109543324745367        43.980243221956719     
          90   44.608356694700305        44.476198104391933     
          91   45.104620272597415        44.973340987064304     
          92   45.600683505099589        45.470577241416137     
          93   46.097213878542725        45.968040370058873     
          94   46.592729554374813        46.465930633060104     
          95   47.088151658767771        46.963807489486683     
          96   47.583667093880166        47.461403930364199     
          97   48.078955449047434        47.958346127658437     
          98   48.574136872179650        48.456863635149929     
          99   49.069451676212601        48.954900468618575     
         100   49.564526034712948        49.453578104138849     
