 initial potential energy	:    244987.72708260393     
 final potential energy :   -379.64824426392721     
 step	utot	ukin	upot	temp	press

  550   -256.96653    217.55621   -474.52274      1.46502      2.46621
  600   -256.96705    227.15471   -484.12175      1.52966      1.86272
  650   -256.96668    220.57237   -477.53906      1.48534      1.89397
  700   -256.96692    214.77248   -471.73940      1.44628      2.00115
  750   -256.96740    206.17166   -463.13906      1.38836      2.28178
  800   -256.96733    194.37818   -451.34551      1.30894      2.69345
  850   -256.96723    195.97087   -452.93809      1.31967      2.63653
  900   -256.96835    198.59232   -455.56067      1.33732      2.56103
  950   -256.96789    191.09139   -448.05928      1.28681      2.84993
 1000   -256.96752    183.50041   -440.46793      1.23569      3.12771
 1050   -256.96700    179.55839   -436.52539      1.20915      3.22058
 1100   -256.96761    188.99115   -445.95876      1.27267      2.83883
 1150   -256.96799    186.98390   -443.95189      1.25915      2.86356
 1200   -256.96741    185.57958   -442.54699      1.24969      2.87853
 1250   -256.96798    197.18856   -454.15654      1.32787      2.50888
 1300   -256.96784    179.31595   -436.28379      1.20751      3.17665
 1350   -256.96793    172.41653   -429.38445      1.16105      3.51449
 1400   -256.96758    185.65252   -442.62011      1.25019      3.11814
 1450   -256.96794    193.26541   -450.23334      1.30145      2.89988
 1500   -256.96736    187.67633   -444.64369      1.26381      3.12256
 1550   -256.96661    182.73527   -439.70188      1.23054      3.29768
 1600   -256.96785    195.29181   -452.25966      1.31510      2.87398
 1650   -256.96785    198.29027   -455.25812      1.33529      2.76050
 1700   -256.96664    184.14969   -441.11633      1.24007      3.20115
 1750   -256.96808    196.55326   -453.52134      1.32359      2.75337
 1800   -256.96760    204.89934   -461.86694      1.37979      2.39047
 1850   -256.96739    198.19701   -455.16440      1.33466      2.52949
 1900   -256.96690    193.19149   -450.15839      1.30095      2.61369
 1950   -256.96744    202.47781   -459.44525      1.36349      2.26638
 2000   -256.96770    203.44694   -460.41464      1.37001      2.24497
 2050   -256.96688    192.32999   -449.29687      1.29515      2.65529
 2100   -256.96769    193.48524   -450.45293      1.30293      2.68431
 2150   -256.96782    191.62883   -448.59665      1.29043      2.81319
 2200   -256.96744    185.85980   -442.82725      1.25158      3.06113
 2250   -256.96736    189.29946   -446.26682      1.27474      2.95403
 2300   -256.96713    199.85651   -456.82364      1.34584      2.53211
 2350   -256.96741    211.07250   -468.03991      1.42136      2.07323
 2400   -256.96722    210.13676   -467.10399      1.41506      2.07174
 2450   -256.96783    195.65643   -452.62426      1.31755      2.61618
 2500   -256.96641    178.50690   -435.47331      1.20207      3.24881
 2550   -256.96785    190.13373   -447.10158      1.28036      2.86682
 2600   -256.96754    189.86465   -446.83219      1.27855      2.81133
 2650   -256.96634    180.34608   -437.31242      1.21445      3.08616
 2700   -256.96844    187.83039   -444.79883      1.26485      2.89244
 2750   -256.96669    164.98987   -421.95656      1.11104      3.71733
 2800   -256.96630    157.03630   -414.00260      1.05748      3.98230
 2850   -256.96762    180.74467   -437.71229      1.21714      3.09914
 2900   -256.96682    186.91020   -443.87702      1.25865      2.74750
 2950   -256.96720    188.95778   -445.92498      1.27244      2.60260
 3000   -256.96657    183.72786   -440.69443      1.23722      2.74344
 3050   -256.96724    183.95930   -440.92654      1.23878      2.73743
 3100   -256.96644    187.77371   -444.74015      1.26447      2.61176
 3150   -256.96787    200.98692   -457.95479      1.35345      2.23463
 3200   -256.96694    194.64351   -451.61045      1.31073      2.51638
 3250   -256.96695    190.96549   -447.93244      1.28596      2.72592
 3300   -256.96690    186.83827   -443.80517      1.25817      2.93095
 3350   -256.96689    176.27782   -433.24470      1.18706      3.31252
 3400   -256.96711    175.91566   -432.88277      1.18462      3.29154
 3450   -256.96670    187.23242   -444.19913      1.26082      2.82723
 3500   -256.96709    194.00952   -450.97661      1.30646      2.52408
 3550   -256.96693    185.17836   -442.14529      1.24699      2.78770
 3600   -256.96631    175.29000   -432.25631      1.18040      3.09708
 3650   -256.96662    184.23987   -441.20649      1.24067      2.76654
 3700   -256.96727    199.55754   -456.52481      1.34382      2.25916
 3750   -256.96725    200.24480   -457.21205      1.34845      2.32850
 3800   -256.96718    190.44627   -447.41344      1.28247      2.77688
 3850   -256.96759    183.19493   -440.16252      1.23364      3.09976
 3900   -256.96723    180.60538   -437.57261      1.21620      3.18564
 3950   -256.96721    182.88536   -439.85258      1.23155      3.09287
 4000   -256.96737    184.13416   -441.10154      1.23996      3.06882
