 initial potential energy	:    245218.04374080981     
 final potential energy :   -466.35541839343352     
 step	utot	ukin	upot	temp	press

  550   -261.18470    222.25886   -483.44357      1.49669      1.80807
  600   -261.18432    213.45291   -474.63723      1.43739      1.79065
  650   -261.18368    210.18906   -471.37274      1.41541      1.70576
  700   -261.18440    208.06744   -469.25184      1.40113      1.70662
  750   -261.18465    193.87577   -455.06042      1.30556      2.20211
  800   -261.18476    183.82428   -445.00904      1.23787      2.55720
  850   -261.18406    194.38512   -455.56918      1.30899      2.16443
  900   -261.18557    210.87302   -472.05859      1.42002      1.62660
  950   -261.18424    204.51446   -465.69869      1.37720      1.92896
 1000   -261.18453    202.20120   -463.38573      1.36162      2.12702
 1050   -261.18448    201.64258   -462.82706      1.35786      2.22049
 1100   -261.18451    201.37428   -462.55879      1.35606      2.30523
 1150   -261.18438    197.49395   -458.67832      1.32993      2.53013
 1200   -261.18487    195.61842   -456.80329      1.31730      2.67016
 1250   -261.18442    186.96151   -448.14594      1.25900      2.97053
 1300   -261.18477    185.30618   -446.49095      1.24785      3.02592
 1350   -261.18466    186.69861   -447.88327      1.25723      2.98340
 1400   -261.18415    190.83672   -452.02087      1.28510      2.81725
 1450   -261.18504    207.84504   -469.03008      1.39963      2.17735
 1500   -261.18537    214.76348   -475.94885      1.44622      1.90121
 1550   -261.18503    198.46228   -459.64732      1.33645      2.48503
 1600   -261.18478    180.52143   -441.70621      1.21563      3.14309
 1650   -261.18573    184.02732   -445.21306      1.23924      3.07497
 1700   -261.18557    180.58682   -441.77238      1.21607      3.23726
 1750   -261.18449    175.52434   -436.70882      1.18198      3.42529
 1800   -261.18604    193.70907   -454.89512      1.30444      2.82322
 1850   -261.18534    190.98662   -452.17196      1.28611      2.87666
 1900   -261.18512    183.32561   -444.51074      1.23452      3.11111
 1950   -261.18632    188.22623   -449.41255      1.26752      2.95758
 2000   -261.18486    178.63385   -439.81872      1.20292      3.24653
 2050   -261.18590    182.51621   -443.70211      1.22907      3.05249
 2100   -261.18536    188.50812   -449.69348      1.26941      2.70941
 2150   -261.18583    196.29755   -457.48338      1.32187      2.30310
 2200   -261.18576    192.58326   -453.76902      1.29686      2.35830
 2250   -261.18591    184.13556   -445.32147      1.23997      2.65202
 2300   -261.18586    181.12489   -442.31075      1.21970      2.78668
 2350   -261.18633    185.21686   -446.40319      1.24725      2.70388
 2400   -261.18652    184.03995   -445.22647      1.23933      2.82117
 2450   -261.18601    177.53671   -438.72272      1.19553      3.10495
 2500   -261.18620    178.01015   -439.19634      1.19872      3.09101
 2550   -261.18615    182.74867   -443.93483      1.23063      2.85253
 2600   -261.18635    189.75317   -450.93952      1.27780      2.54905
 2650   -261.18606    188.11626   -449.30232      1.26678      2.60893
 2700   -261.18549    186.04270   -447.22820      1.25281      2.73907
 2750   -261.18594    190.88207   -452.06802      1.28540      2.64934
 2800   -261.18645    188.78550   -449.97195      1.27128      2.78837
 2850   -261.18570    171.44590   -432.63160      1.15452      3.43285
 2900   -261.18622    171.02757   -432.21379      1.15170      3.47280
 2950   -261.18658    180.40758   -441.59416      1.21487      3.10355
 3000   -261.18625    178.00830   -439.19454      1.19871      3.09936
 3050   -261.18590    174.83401   -436.01991      1.17733      3.13489
 3100   -261.18632    178.09233   -439.27865      1.19927      2.97378
