 initial potential energy	:    245218.04374080981     
 final potential energy :   -466.35541839343352     
 step	utot	ukin	upot	temp	press
 3150   -261.18642    180.63512   -441.82154      1.21640      2.86076
 3200   -261.18674    179.25653   -440.44328      1.20711      2.90572
 3250   -261.18596    174.13962   -435.32558      1.17266      3.08367
 3300   -261.18677    184.43593   -445.62270      1.24199      2.79113
 3350   -261.18597    181.03468   -442.22065      1.21909      2.99359
 3400   -261.18588    177.88137   -439.06725      1.19785      3.17014
 3450   -261.18644    179.46941   -440.65585      1.20855      3.12216
 3500   -261.18577    172.87017   -434.05594      1.16411      3.30496
 3550   -261.18567    178.06284   -439.24850      1.19908      3.10766
 3600   -261.18661    195.42478   -456.61138      1.31599      2.51010
 3650   -261.18597    196.30646   -457.49243      1.32193      2.48282
 3700   -261.18562    195.95780   -457.14343      1.31958      2.53239
 3750   -261.18676    200.38756   -461.57431      1.34941      2.44317
 3800   -261.18535    184.61851   -445.80386      1.24322      3.01288
 3850   -261.18593    182.32031   -443.50625      1.22775      3.11737
 3900   -261.18605    186.79744   -447.98349      1.25790      2.93162
 3950   -261.18620    184.99560   -446.18179      1.24576      2.92376
 4000   -261.18489    179.90481   -441.08971      1.21148      2.98447
 4050   -261.18577    195.34809   -456.53386      1.31548      2.37635
 4100   -261.18579    205.76382   -466.94961      1.38561      1.97049
 4150   -261.18567    200.01323   -461.19890      1.34689      2.17615
 4200   -261.18527    188.61611   -449.80138      1.27014      2.61883
 4250   -261.18591    183.43012   -444.61604      1.23522      2.87914
 4300   -261.18571    168.63224   -429.81795      1.13557      3.40848
 4350   -261.18501    162.09609   -423.28110      1.09156      3.58351
 4400   -261.18648    177.23232   -438.41881      1.19348      3.00260
 4450   -261.18500    177.73483   -438.91982      1.19687      2.92204
 4500   -261.18694    181.00767   -442.19461      1.21891      2.84842
 4550   -261.18397    169.51939   -430.70335      1.14154      3.23319
 4600   -261.18613    193.57219   -454.75832      1.30352      2.46224
 4650   -261.18538    197.40030   -458.58568      1.32929      2.37112
 4700   -261.18589    188.51843   -449.70432      1.26948      2.81989
 4750   -261.18465    170.81165   -431.99630      1.15025      3.55959
 4800   -261.18535    173.26238   -434.44773      1.16675      3.54940
 4850   -261.18548    177.73447   -438.91995      1.19687      3.38177
 4900   -261.18551    179.91589   -441.10140      1.21155      3.26430
 4950   -261.18604    179.86478   -441.05082      1.21121      3.24752
 5000   -261.18537    173.87646   -435.06183      1.17089      3.44465

 average temperature :    1.2629847527973788     
 average pressure	:    2.7700796803075716     
 average ukin	:    187.55323579041118     
 average upot	:   -448.73877040751637     
 average utot	:   -261.18553461710536     
 average drift :    6.9415649225035257E-006
