 initial energy:          -46
 initial magnetization:           22
 average energy:   -1645.4765034901566     
 fraction accepted swaps:   0.11956054687500001     
 elapsed time [s] :   0.63470300000000002     
 final energy	(simu) :        -1666
 final magnetization (simu) :          902
 Magnetization Distribution: 
         578   2.0208333333333333E-004   2.0208333333333333E-004
         580   2.1250000000000002E-004   2.1250000000000002E-004
         582   1.9492187500000000E-004   1.9492187500000003E-004
         584   1.7200520833333334E-004   1.7200520833333334E-004
         586   1.0638020833333334E-004   1.0638020833333333E-004
         588   1.0481770833333334E-004   1.0481770833333334E-004
         590   1.0364583333333334E-004   1.0364583333333334E-004
         592   1.2500000000000000E-004   1.2500000000000000E-004
         594   9.8307291666666668E-005   9.8307291666666682E-005
         596   9.3750000000000002E-005   9.3750000000000002E-005
         598   1.0416666666666667E-004   1.0416666666666666E-004
         600   7.5781250000000002E-005   7.5781250000000002E-005
         602   7.4869791666666674E-005   7.4869791666666661E-005
         604   1.0325520833333333E-004   1.0325520833333333E-004
         606   1.1966145833333334E-004   1.1966145833333334E-004
         608   1.3945312500000001E-004   1.3945312500000001E-004
         610   1.4583333333333335E-004   1.4583333333333335E-004
         612   1.6250000000000002E-004   1.6249999999999999E-004
         614   1.2994791666666667E-004   1.2994791666666667E-004
         616   1.0703125000000000E-004   1.0703125000000002E-004
         618   1.2578125000000000E-004   1.2578125000000000E-004
         620   1.3046875000000000E-004   1.3046875000000000E-004
         622   1.2591145833333334E-004   1.2591145833333332E-004
         624   1.3671875000000001E-004   1.3671875000000001E-004
         626   1.5729166666666666E-004   1.5729166666666666E-004
         628   2.2330729166666668E-004   2.2330729166666666E-004
         630   2.3476562500000000E-004   2.3476562500000000E-004
         632   2.3567708333333334E-004   2.3567708333333332E-004
         634   2.2187500000000001E-004   2.2187500000000001E-004
         636   2.4856770833333333E-004   2.4856770833333333E-004
         638   2.2174479166666667E-004   2.2174479166666669E-004
         640   2.1966145833333335E-004   2.1966145833333335E-004
         642   2.0846354166666667E-004   2.0846354166666664E-004
         644   2.0742187500000001E-004   2.0742187500000001E-004
         646   2.2526041666666669E-004   2.2526041666666669E-004
         648   2.2044270833333334E-004   2.2044270833333331E-004
         650   2.3945312500000000E-004   2.3945312500000000E-004
         652   2.3033854166666667E-004   2.3033854166666667E-004
         654   2.4804687500000000E-004   2.4804687500000000E-004
         656   2.7539062500000003E-004   2.7539062499999997E-004
         658   3.1171875000000004E-004   3.1171874999999998E-004
         660   3.0690104166666669E-004   3.0690104166666664E-004
         662   3.1393229166666668E-004   3.1393229166666668E-004
         664   3.1848958333333333E-004   3.1848958333333333E-004
         666   3.1171875000000004E-004   3.1171874999999998E-004
         668   3.4205729166666667E-004   3.4205729166666667E-004
         670   3.6588541666666670E-004   3.6588541666666665E-004
         672   3.9700520833333336E-004   3.9700520833333336E-004
         674   4.9179687500000005E-004   4.9179687499999994E-004
         676   5.6809895833333332E-004   5.6809895833333332E-004
         678   6.1432291666666666E-004   6.1432291666666666E-004
         680   6.3867187500000003E-004   6.3867187500000003E-004
         682   6.6315104166666671E-004   6.6315104166666660E-004
         684   8.1861979166666671E-004   8.1861979166666661E-004
         686   9.9726562500000011E-004   9.9726562499999989E-004
         688   1.0270833333333334E-003   1.0270833333333334E-003
         690   1.1385416666666668E-003   1.1385416666666666E-003
         692   1.1773437500000000E-003   1.1773437500000000E-003
         694   1.2075520833333335E-003   1.2075520833333335E-003
         696   1.3574218750000001E-003   1.3574218750000001E-003
         698   1.4055989583333334E-003   1.4055989583333334E-003
         700   1.3717447916666667E-003   1.3717447916666667E-003
         702   1.4687500000000000E-003   1.4687500000000000E-003
         704   1.4731770833333335E-003   1.4731770833333333E-003
         706   1.5494791666666667E-003   1.5494791666666667E-003
         708   1.7393229166666668E-003   1.7393229166666666E-003
         710   1.8001302083333335E-003   1.8001302083333335E-003
         712   1.8805989583333335E-003   1.8805989583333333E-003
         714   1.8623697916666667E-003   1.8623697916666667E-003
         716   1.8428385416666667E-003   1.8428385416666667E-003
         718   1.9777343749999999E-003   1.9777343749999999E-003
         720   1.8953125000000001E-003   1.8953124999999999E-003
         722   2.0441406250000000E-003   2.0441406250000000E-003
         724   2.0959635416666670E-003   2.0959635416666670E-003
         726   2.2085937500000001E-003   2.2085937500000001E-003
         728   2.1789062500000003E-003   2.1789062499999999E-003
         730   2.2907552083333334E-003   2.2907552083333334E-003
         732   2.3701822916666667E-003   2.3701822916666667E-003
         734   2.5195312500000001E-003   2.5195312500000001E-003
         736   2.5595052083333333E-003   2.5595052083333333E-003
         738   2.6796875000000002E-003   2.6796874999999998E-003
         740   2.8285156250000003E-003   2.8285156249999999E-003
         742   3.0923177083333336E-003   3.0923177083333332E-003
         744   3.3213541666666669E-003   3.3213541666666665E-003
         746   3.4212239583333334E-003   3.4212239583333334E-003
         748   3.4744791666666669E-003   3.4744791666666669E-003
         750   3.8092447916666669E-003   3.8092447916666669E-003
         752   3.8523437500000003E-003   3.8523437500000003E-003
         754   4.0764322916666670E-003   4.0764322916666670E-003
         756   4.1475260416666670E-003   4.1475260416666670E-003
         758   4.4065104166666671E-003   4.4065104166666671E-003
         760   4.5610677083333332E-003   4.5610677083333332E-003
         762   4.5981770833333335E-003   4.5981770833333335E-003
         764   4.6834635416666669E-003   4.6834635416666661E-003
         766   4.9850260416666667E-003   4.9850260416666667E-003
         768   5.1238281250000003E-003   5.1238281250000003E-003
         770   5.3691406250000002E-003   5.3691406250000002E-003
         772   5.3035156250000005E-003   5.3035156250000005E-003
         774   5.3226562500000001E-003   5.3226562500000001E-003
         776   5.4544270833333337E-003   5.4544270833333337E-003
         778   5.6752604166666670E-003   5.6752604166666670E-003
         780   5.5889322916666670E-003   5.5889322916666670E-003
         782   5.8897135416666668E-003   5.8897135416666668E-003
         784   6.0542968750000002E-003   6.0542968749999993E-003
         786   6.3653645833333340E-003   6.3653645833333340E-003
         788   6.5704427083333340E-003   6.5704427083333340E-003
         790   6.8123697916666667E-003   6.8123697916666675E-003
         792   6.8941406250000005E-003   6.8941406249999997E-003
         794   7.1513020833333333E-003   7.1513020833333333E-003
         796   7.3675781250000004E-003   7.3675781249999996E-003
         798   7.3769531250000003E-003   7.3769531250000003E-003
         800   7.3705729166666668E-003   7.3705729166666659E-003
         802   7.5002604166666672E-003   7.5002604166666664E-003
         804   7.5416666666666670E-003   7.5416666666666661E-003
         806   7.8821614583333335E-003   7.8821614583333335E-003
         808   8.0307291666666669E-003   8.0307291666666669E-003
         810   8.1722656250000011E-003   8.1722656249999994E-003
         812   8.5072916666666665E-003   8.5072916666666665E-003
         814   8.4654947916666667E-003   8.4654947916666667E-003
         816   8.6040364583333338E-003   8.6040364583333338E-003
         818   9.0072916666666669E-003   9.0072916666666669E-003
         820   9.0488281250000000E-003   9.0488281250000000E-003
         822   9.3488281249999999E-003   9.3488281249999999E-003
         824   9.4781250000000004E-003   9.4781250000000004E-003
         826   9.6005208333333342E-003   9.6005208333333342E-003
         828   9.5481770833333330E-003   9.5481770833333330E-003
         830   9.6712239583333342E-003   9.6712239583333342E-003
         832   1.0011067708333333E-002   1.0011067708333333E-002
         834   1.0411328125000001E-002   1.0411328125000001E-002
         836   1.0774479166666667E-002   1.0774479166666667E-002
         838   1.0939583333333334E-002   1.0939583333333334E-002
         840   1.1134114583333334E-002   1.1134114583333334E-002
         842   1.1503645833333334E-002   1.1503645833333334E-002
         844   1.1622005208333334E-002   1.1622005208333333E-002
         846   1.1674218750000000E-002   1.1674218750000000E-002
         848   1.1897526041666667E-002   1.1897526041666667E-002
         850   1.1869140625000000E-002   1.1869140625000000E-002
         852   1.2366406250000000E-002   1.2366406249999998E-002
         854   1.2650781250000001E-002   1.2650781250000000E-002
         856   1.2995572916666667E-002   1.2995572916666668E-002
         858   1.3444921875000000E-002   1.3444921875000000E-002
         860   1.3742057291666667E-002   1.3742057291666667E-002
         862   1.3664322916666667E-002   1.3664322916666666E-002
         864   1.3855729166666667E-002   1.3855729166666667E-002
         866   1.3989322916666668E-002   1.3989322916666666E-002
         868   1.4100781250000001E-002   1.4100781250000001E-002
         870   1.4155859375000001E-002   1.4155859375000001E-002
         872   1.4329427083333334E-002   1.4329427083333334E-002
         874   1.4433593750000001E-002   1.4433593750000001E-002
         876   1.4163020833333335E-002   1.4163020833333335E-002
         878   1.4170703125000001E-002   1.4170703125000000E-002
         880   1.4251302083333334E-002   1.4251302083333332E-002
         882   1.4344401041666668E-002   1.4344401041666666E-002
         884   1.3781119791666668E-002   1.3781119791666668E-002
         886   1.3870312500000001E-002   1.3870312500000001E-002
         888   1.4132161458333334E-002   1.4132161458333332E-002
         890   1.3991927083333335E-002   1.3991927083333333E-002
         892   1.4176432291666667E-002   1.4176432291666666E-002
         894   1.3784635416666668E-002   1.3784635416666666E-002
         896   1.3101302083333334E-002   1.3101302083333334E-002
         898   1.2891145833333334E-002   1.2891145833333334E-002
         900   1.2706250000000001E-002   1.2706250000000001E-002
         902   1.2631770833333333E-002   1.2631770833333335E-002
         904   1.2301562500000000E-002   1.2301562500000000E-002
         906   1.2044531250000001E-002   1.2044531249999999E-002
         908   1.1238671875000000E-002   1.1238671875000000E-002
         910   1.0958854166666667E-002   1.0958854166666665E-002
         912   1.0542968750000001E-002   1.0542968750000001E-002
         914   9.9833333333333336E-003   9.9833333333333336E-003
         916   9.6736979166666664E-003   9.6736979166666664E-003
         918   8.9402343749999998E-003   8.9402343749999998E-003
         920   8.4602864583333340E-003   8.4602864583333340E-003
         922   8.1053385416666665E-003   8.1053385416666665E-003
         924   7.4139322916666672E-003   7.4139322916666663E-003
         926   7.0497395833333341E-003   7.0497395833333332E-003
         928   6.6437500000000003E-003   6.6437499999999995E-003
         930   6.4360677083333340E-003   6.4360677083333340E-003
         932   5.8462239583333339E-003   5.8462239583333330E-003
         934   5.5283854166666667E-003   5.5283854166666667E-003
         936   5.1135416666666673E-003   5.1135416666666664E-003
         938   4.6683593750000002E-003   4.6683593750000002E-003
         940   4.3414062499999998E-003   4.3414062499999998E-003
         942   3.7546875000000002E-003   3.7546875000000002E-003
         944   3.1751302083333336E-003   3.1751302083333332E-003
         946   2.9074218750000003E-003   2.9074218750000003E-003
         948   2.4820312500000003E-003   2.4820312499999999E-003
         950   1.9438802083333335E-003   1.9438802083333333E-003
         952   1.5549479166666667E-003   1.5549479166666665E-003
         954   1.4346354166666667E-003   1.4346354166666667E-003
         956   1.1985677083333334E-003   1.1985677083333332E-003
         958   9.4231770833333342E-004   9.4231770833333331E-004
         960   7.3059895833333332E-004   7.3059895833333332E-004
         962   5.7526041666666674E-004   5.7526041666666663E-004
         964   3.5716145833333335E-004   3.5716145833333330E-004
         966   3.2864583333333335E-004   3.2864583333333330E-004
         968   1.9257812500000001E-004   1.9257812499999999E-004
         970   1.3320312499999999E-004   1.3320312499999999E-004
         972   7.3567708333333335E-005   7.3567708333333335E-005
         974   6.6927083333333335E-005   6.6927083333333335E-005
         976   3.6197916666666671E-005   3.6197916666666664E-005
         978   2.2916666666666667E-005   2.2916666666666664E-005
         980   2.2786458333333334E-005   2.2786458333333334E-005
         982   1.8619791666666669E-005   1.8619791666666666E-005
         984   7.5520833333333334E-006   7.5520833333333325E-006
         986   9.8958333333333344E-006   9.8958333333333327E-006
 final energy (calc) :        -1666
 final magnetization (calc) :          902
