 initial energy:           16
 initial magnetization:           24
 average energy:   -1616.9571519080898     
 fraction accepted swaps:   0.14642187500000001     
 elapsed time [s] :   0.64798200000000006     
 final energy	(simu) :        -1562
 final magnetization (simu) :          632
 Magnetization Distribution: 
        -498   2.0065104166666669E-004   5.7127020516131915E-005
        -496   2.0182291666666667E-004   5.6355184595244504E-005
        -494   1.7643229166666667E-004   4.8442442308669801E-005
        -492   1.6653645833333334E-004   4.4915161256452628E-005
        -490   1.5872395833333334E-004   4.2017903566029257E-005
        -488   1.5429687500000000E-004   4.0118876809370285E-005
        -486   1.7031250000000000E-004   4.3536051082144873E-005
        -484   1.7200520833333334E-004   4.3207798849337606E-005
        -482   1.8580729166666667E-004   4.5826562984753507E-005
        -480   2.2226562500000002E-004   5.3844944397948056E-005
        -478   2.3476562500000000E-004   5.5906668507285901E-005
        -476   2.2929687500000001E-004   5.3711081082163764E-005
        -474   2.6067708333333336E-004   5.9966819038621899E-005
        -472   3.1054687500000000E-004   7.0285970775597952E-005
        -470   3.7799479166666667E-004   8.4059524877567600E-005
        -468   3.2929687500000000E-004   7.1808258477956609E-005
        -466   3.3190104166666670E-004   7.0825755141148939E-005
        -464   2.6549479166666670E-004   5.5666194068693745E-005
        -462   2.3658854166666669E-004   4.8753376264351997E-005
        -460   2.1822916666666667E-004   4.4276705980819019E-005
        -458   2.1901041666666667E-004   4.3671405602255689E-005
        -456   2.4466145833333333E-004   4.8004162349729414E-005
        -454   2.3411458333333335E-004   4.5146486045553324E-005
        -452   2.7486979166666670E-004   5.2068444902045723E-005
        -450   2.4049479166666669E-004   4.4891821258343389E-005
        -448   2.5208333333333333E-004   4.6443405308171095E-005
        -446   2.6106770833333337E-004   4.7244821171412719E-005
        -444   2.7057291666666668E-004   4.8154586831899080E-005
        -442   2.4713541666666666E-004   4.3476769133030094E-005
        -440   2.5494791666666667E-004   4.4137952199397009E-005
        -438   2.4518229166666666E-004   4.1869345659928477E-005
        -436   2.5351562500000000E-004   4.2537559080348514E-005
        -434   2.5364583333333337E-004   4.1901158577355773E-005
        -432   2.3554687500000000E-004   3.8153389435434433E-005
        -430   2.4179687500000001E-004   3.8543546294863316E-005
        -428   2.2916666666666669E-004   3.5903994308720007E-005
        -426   2.5117187500000004E-004   3.8747661525911076E-005
        -424   2.8424479166666670E-004   4.3182644200376908E-005
        -422   3.6354166666666669E-004   5.4516144504182821E-005
        -420   3.9309895833333335E-004   5.7986760837073441E-005
        -418   3.5716145833333335E-004   5.1854930631025992E-005
        -416   3.1679687500000002E-004   4.5210949186283225E-005
        -414   2.9114583333333336E-004   4.0815140678359107E-005
        -412   3.0013020833333335E-004   4.1304810029261809E-005
        -410   2.9726562500000000E-004   4.0388096072743226E-005
        -408   2.5026041666666670E-004   3.3512276449661442E-005
        -406   2.4257812500000001E-004   3.2025140787749696E-005
        -404   2.4869791666666665E-004   3.2309205654149057E-005
        -402   2.6822916666666667E-004   3.4365225454530506E-005
        -400   2.6848958333333336E-004   3.3929350217371603E-005
        -398   2.6236979166666666E-004   3.2707449903010392E-005
        -396   2.6510416666666669E-004   3.2524981025767853E-005
        -394   2.9375000000000001E-004   3.5471302382519387E-005
        -392   3.1914062500000003E-004   3.7990506018118981E-005
        -390   3.2356770833333337E-004   3.7840508107626947E-005
        -388   3.1497395833333334E-004   3.6357668113633161E-005
        -386   3.3671875000000000E-004   3.8373479872739405E-005
        -384   3.2226562500000002E-004   3.6149821410484026E-005
        -382   3.0260416666666668E-004   3.3509915205625491E-005
        -380   2.8216145833333332E-004   3.0821257635715477E-005
        -378   2.7500000000000002E-004   2.9617763162536497E-005
        -376   2.2786458333333334E-004   2.4239647530435236E-005
        -374   2.3984375000000001E-004   2.5105967331427299E-005
        -372   2.6041666666666666E-004   2.6921721538427990E-005
        -370   2.2799479166666668E-004   2.3308784009446490E-005
        -368   1.7786458333333334E-004   1.7936423064203982E-005
        -366   1.8671875000000001E-004   1.8577983085638684E-005
        -364   2.2226562500000002E-004   2.1846950272017685E-005
        -362   2.4739583333333335E-004   2.4008812693454008E-005
        -360   2.3815104166666668E-004   2.2782884671109152E-005
        -358   2.4414062500000000E-004   2.3060320465151316E-005
        -356   2.5833333333333334E-004   2.4057181792363674E-005
        -354   2.3763020833333335E-004   2.1829694792732869E-005
        -352   2.3710937500000002E-004   2.1529234874116067E-005
        -350   2.3684895833333335E-004   2.1296332011904085E-005
        -348   2.3151041666666668E-004   2.0607621630415519E-005
        -346   2.2486979166666667E-004   1.9816870324234683E-005
        -344   2.6692708333333337E-004   2.3216265113023243E-005
        -342   2.8281250000000002E-004   2.4325487388755038E-005
        -340   3.2838541666666666E-004   2.7875338964814655E-005
        -338   2.9283854166666667E-004   2.4563641094244252E-005
        -336   3.6354166666666669E-004   3.0161922884852138E-005
        -334   3.6197916666666670E-004   2.9692987595610342E-005
        -332   3.3776041666666666E-004   2.7361033282941183E-005
        -330   3.8854166666666670E-004   3.1125920065267664E-005
        -328   4.3398437500000002E-004   3.4464243340409205E-005
        -326   5.0729166666666674E-004   3.9837516666944964E-005
        -324   5.2539062500000003E-004   4.0951518608095976E-005
        -322   5.8919270833333339E-004   4.5507859599424786E-005
        -320   5.4322916666666669E-004   4.1434705198227792E-005
        -318   5.0286458333333335E-004   3.8011639533669775E-005
        -316   5.5312500000000001E-004   4.1402582423950202E-005
        -314   6.3567708333333336E-004   4.7035873865888871E-005
        -312   6.8502604166666668E-004   5.0145093096527552E-005
        -310   6.7656250000000008E-004   4.8973528681558947E-005
        -308   6.6627604166666669E-004   4.7682294388298937E-005
        -306   5.9322916666666671E-004   4.2201805644935724E-005
        -304   5.8658854166666668E-004   4.1444832411395365E-005
        -302   6.3763020833333336E-004   4.4684707324180788E-005
        -300   6.2786458333333336E-004   4.3597415108506186E-005
        -298   6.1367187500000007E-004   4.2211541557758869E-005
        -296   5.6640625000000007E-004   3.8573170399806039E-005
        -294   5.6692708333333335E-004   3.8299332780060256E-005
        -292   6.0859374999999998E-004   4.0805853467200585E-005
        -290   5.7499999999999999E-004   3.8127402575323320E-005
        -288   6.0755208333333332E-004   3.9923657817303630E-005
        -286   6.1744791666666664E-004   4.0319749057827949E-005
        -284   5.6666666666666671E-004   3.6691074428182779E-005
        -282   5.9466145833333333E-004   3.8169180490579053E-005
        -280   6.6054687500000000E-004   4.1994023096094879E-005
        -278   6.9218749999999999E-004   4.3783755219477502E-005
        -276   6.7799479166666670E-004   4.2515867811404262E-005
        -274   6.7669270833333340E-004   4.2071212506855006E-005
        -272   7.0429687500000006E-004   4.3466525156868791E-005
        -270   7.8255208333333334E-004   4.7951428430390966E-005
        -268   7.5781250000000002E-004   4.6164428889628287E-005
        -266   8.1757812500000005E-004   4.9355509178343705E-005
        -264   8.1158854166666673E-004   4.8690101760670070E-005
        -262   8.6979166666666672E-004   5.1824728518716399E-005
        -260   8.4934895833333336E-004   5.0310283781754725E-005
        -258   8.4309895833333340E-004   4.9554147961790464E-005
        -256   7.9010416666666671E-004   4.6125860306704879E-005
        -254   8.5104166666666672E-004   4.9278579311036375E-005
        -252   8.7825520833333343E-004   5.0500151283821415E-005
        -250   8.9244791666666671E-004   5.0857537713128199E-005
        -248   9.2669270833333340E-004   5.2408525090116777E-005
        -246   9.0872395833333332E-004   5.0929339008003215E-005
        -244   1.0162760416666666E-003   5.6473639756689247E-005
        -242   1.0218750000000000E-003   5.6450903433240073E-005
        -240   9.8138020833333345E-004   5.3853370232065275E-005
        -238   1.0502604166666668E-003   5.7212123131505209E-005
        -236   1.0721354166666668E-003   5.7871541104308918E-005
        -234   1.0807291666666667E-003   5.7943176056424882E-005
        -232   1.0298177083333333E-003   5.4693671819257411E-005
        -230   1.0704427083333334E-003   5.6374238417426399E-005
        -228   1.0466145833333334E-003   5.4878656825458517E-005
        -226   1.0182291666666666E-003   5.3004844598499289E-005
        -224   1.0928385416666667E-003   5.6440287870268769E-005
        -222   1.0742187500000001E-003   5.5204428288488512E-005
        -220   1.0725260416666667E-003   5.4686279835825808E-005
        -218   9.9205729166666669E-004   5.0288123194285452E-005
        -216   9.9869791666666661E-004   5.0444625893961076E-005
        -214   1.0746093750000000E-003   5.3783969761576377E-005
        -212   1.0235677083333334E-003   5.1042787274110497E-005
        -210   1.0048177083333335E-003   4.9801263729937899E-005
        -208   9.2265625000000008E-004   4.5500757709742722E-005
        -206   8.5260416666666666E-004   4.1946503148950748E-005
