 conserved    temp
    0.1551228124E+02    0.2703428460E+02
    0.5754457967E-01    0.4943371702E-01
    0.3143336938E+00    0.5983627537E+00
    0.5620050057E-01    0.1123977536E+00
    0.3038644647E+01    0.1480910819E+01
    0.5405458777E-01    0.3558165114E-01
    0.1309988643E+00    0.2512664507E+00
    0.9717907183E-01    0.1793322564E+00
    0.3595569107E+00    0.4431607460E-01
    0.7079232948E+01    0.1394542973E-03
    0.9808862896E-01    0.2457047570E-01
    0.3728623309E+00    0.6086553333E+00
    0.5158931695E-01    0.7272825736E-01
    0.5495978887E-01    0.1825435861E-01
    0.8709119212E-01    0.4924490192E-01
    0.1436805945E+00    0.2787162063E+00
    0.6194998394E+00    0.1228036693E+01
    0.6838398398E-01    0.2283596369E-03
    0.3162167963E+00    0.8732368748E-01
    0.4108148209E+00    0.8174051171E+00
    0.5066457995E+00    0.8451862365E+00
    0.7605045650E-01    0.1479257276E+00
    0.1626772765E+00    0.2936310854E+00
    0.2233649085E+01    0.5758884099E+00
    0.1198016158E+00    0.2198115979E+00
    0.1130219470E+00    0.2912984692E-01
    0.5417617479E+02    0.7169107203E+02
    0.4343049781E+00    0.6859246926E+00
    0.1351854737E+01    0.1503299617E+01
    0.6274662704E-01    0.1246499340E+00
    0.2789135228E+00    0.4768440919E+00
    0.8267939027E-01    0.1716167988E-01
    0.2467575354E+01    0.3793924025E+01
    0.1839634487E+00    0.1829831138E-01
    0.1738116281E+00    0.3392178679E+00
    0.1983262277E+00    0.3959500396E+00
    0.1155300907E+00    0.2243340629E+00
    0.8466749423E-01    0.8604225141E-01
    0.9028948034E-01    0.1722547952E+00
    0.5572313377E-01    0.5585680386E-03
    0.1146688026E+00    0.1647931430E+00
    0.7100162325E-01    0.1192554959E+00
    0.1029527202E+01    0.1245664007E+01
    0.8341482326E+00    0.1325252744E+00
    0.7016212805E-01    0.2473249007E-03
    0.5622586562E-01    0.1123475502E+00
    0.6050988876E-01    0.1210179108E+00
    0.6279766825E-01    0.1755282984E-01
    0.5488887437E-01    0.9475003432E-01
    0.8740840880E+02    0.4398868862E+02
    0.8172018991E-01    0.4421145367E-02
    0.1845577138E+01    0.3923099705E+00
    0.6016374295E-01    0.4936012351E-02
    0.3485092174E+01    0.6637157747E+01
    0.3318111325E+00    0.6595734804E+00
    0.3835974503E+02    0.1307110799E+02
    0.9936956073E-01    0.1983027993E+00
    0.4657977688E+00    0.7310714178E+00
    0.1000107662E+01    0.1478256317E+01
    0.1408312137E+00    0.1324901509E-01
    0.4472261095E+00    0.8103341824E+00
    0.1317107934E+00    0.2618475420E+00
    0.1247849934E+04    0.2209854054E+04
    0.2080508614E+01    0.1098278847E+01
    0.8350292914E-01    0.1070122165E+00
    0.1443611839E+00    0.1952770475E+00
    0.6007828771E-01    0.1189879645E+00
    0.7313527509E-01    0.3573819903E-01
    0.5870492670E-01    0.5481260731E-01
    0.5102261112E+01    0.7578678840E+01
    0.2747896063E+00    0.3786121014E+00
    0.1042255023E+00    0.1252639603E+00
    0.8860897023E-01    0.1466560764E+00
    0.1246229550E+00    0.2491940750E+00
    0.1681766795E+00    0.3194808157E+00
    0.1278866973E+01    0.2043324250E+01
    0.1729667048E+00    0.3178661211E+00
    0.6079263211E-01    0.1116112548E+00
    0.6082174777E+00    0.1018457790E+01
    0.3371315817E+00    0.3417903510E+00
    0.1206711581E+01    0.1080570653E+01
    0.1477963096E+00    0.2726092155E+00
    0.1879855258E+00    0.1438585193E+00
    0.1527504285E+01    0.2640918046E+01
    0.1792433824E+01    0.8773100533E-01
    0.1569735085E+00    0.2945768815E-01
    0.6708121959E-01    0.8047610130E-01
