 conserved    temp
    0.1125053450E+03    0.1325991953E-03
    0.1125053655E+03    0.1174307278E-07
    0.1125054084E+03    0.2612374968E-16
    0.1125054612E+03    0.1083152697E-15
    0.1125054510E+03    0.1385613784E-05
    0.1125054332E+03    0.1669340457E-15
    0.1125054423E+03    0.2874350197E-15
    0.1125054177E+03    0.2295287545E-08
    0.1125054122E+03    0.2150914573E-05
    0.1125054345E+03    0.7233755635E-18
    0.1125054256E+03    0.7580276898E-12
    0.1125053900E+03    0.1479401773E-06
    0.1125053402E+03    0.4641845414E-14
    0.1125053168E+03    0.3309737044E-17
    0.1125053704E+03    0.1650640514E-13
    0.1125053944E+03    0.2209733540E-06
    0.1125053516E+03    0.1417128260E-16
    0.1125053075E+03    0.9007165539E-15
    0.1125053040E+03    0.3757497901E-09
    0.1125053363E+03    0.9155541725E-04
    0.1125053755E+03    0.2790937506E-19
    0.1125053268E+03    0.1070891364E-13
    0.1125052675E+03    0.1132253095E-01
    0.1125052772E+03    0.3683901005E-08
    0.1125052904E+03    0.7128492670E-18
    0.1125052962E+03    0.3957735479E-13
    0.1125054969E+03    0.1407704501E+00
    0.1125052173E+03    0.7674188710E-08
    0.1125052850E+03    0.7170402848E-17
    0.1125052772E+03    0.7044771693E-14
    0.1125052458E+03    0.1981976599E-03
    0.1125052820E+03    0.2589173682E-05
    0.1125053187E+03    0.2849300633E-16
    0.1125053458E+03    0.1262939589E-16
    0.1125052589E+03    0.5193540802E-05
    0.1125052277E+03    0.6604024729E-08
    0.1125052516E+03    0.2295586080E-19
    0.1125053115E+03    0.1258509981E-17
    0.1125054800E+03    0.3844044415E+00
    0.1125052081E+03    0.1270219256E-08
    0.1125052539E+03    0.6234173623E-14
    0.1125052915E+03    0.7749428560E-19
    0.1125052705E+03    0.3359579052E-03
    0.1125052377E+03    0.1250504077E-09
    0.1125052414E+03    0.1042116480E-14
    0.1125053266E+03    0.1970504573E-17
    0.1125053363E+03    0.4411282741E-04
    0.1125053135E+03    0.4486255362E-12
    0.1125052613E+03    0.6710049018E-16
    0.1125052867E+03    0.6148370080E-17
    0.1125053092E+03    0.6707174626E-07
    0.1125053007E+03    0.3727290011E-16
    0.1125052448E+03    0.2375334410E-16
    0.1125052445E+03    0.5503273036E-14
    0.1125052990E+03    0.3271094413E-06
    0.1125053054E+03    0.1802876081E-17
    0.1125052743E+03    0.3396631100E-16
