 conserved    temp
    0.8620101192E+00    0.6223654812E+00
    0.2416893931E+00    0.4806673801E+00
    0.1107922837E+00    0.8743079542E-01
    0.1093240099E+00    0.2192094864E-02
    0.8126229325E-02    0.1491398741E-01
    0.1963902452E+00    0.3086271240E+00
    0.2594760587E+00    0.7373077068E-05
    0.1277660203E+00    0.2208530205E-03
    0.4680940467E+00    0.7670182530E+00
    0.1849330244E+00    0.3349128165E+00
    0.5314941233E+00    0.5426448627E+00
    0.4444337503E+00    0.4099821092E+00
    0.5614660181E+00    0.1025697054E+01
    0.2306619103E+00    0.1302011705E+00
    0.4499077924E+00    0.5059053798E+00
    0.7573063117E-01    0.8861493709E-01
    0.3085406098E-01    0.6037168298E-01
    0.5499766386E-01    0.4821446526E-01
    0.4988538198E-01    0.3340603349E-01
    0.1502648417E+00    0.6089135234E-02
    0.1459199537E+00    0.1496852520E+00
    0.1400581555E+00    0.2661028427E+00
    0.1159084724E+00    0.3689999368E-02
    0.1011705359E-01    0.2172699630E-02
    0.2641278635E+00    0.1588601536E-04
    0.2823777171E-01    0.4757264229E-01
    0.8790844953E-01    0.1612295089E+00
    0.1574978274E+00    0.2837857478E+00
    0.7404062936E+00    0.1053680608E+01
    0.1034847410E+00    0.3368336606E-01
    0.1429443924E+00    0.1503926618E+00
    0.8080419906E-01    0.1513226510E+00
    0.2739792452E+00    0.1208073841E+00
    0.1461145020E+00    0.1201826913E+00
    0.3329401510E-02    0.6109540372E-02
    0.5712265633E-02    0.1234203161E-03
    0.1982578389E+00    0.1545518233E+00
    0.3292222197E+00    0.4277615739E+00
    0.1004572679E+00    0.9258286131E-01
    0.3976786240E-01    0.1884886118E-01
    0.7569266841E-01    0.1496783060E+00
    0.1495489149E+00    0.2562838465E+00
    0.2148072605E-01    0.4288155417E-01
    0.6510985024E-01    0.4527330176E-01
    0.1419230378E+00    0.6688004354E-01
    0.3571947395E+00    0.8601120913E-02
    0.4460454385E-01    0.8920092492E-01
    0.4871074143E+00    0.5743326144E+00
    0.4590404910E-01    0.5287773997E-01
    0.7341345597E-01    0.9954586350E-01
    0.8961731027E-01    0.1760337285E+00
    0.3113884721E-01    0.4928838936E-01
    0.2400616639E+00    0.4380248365E+00
    0.1381351647E+00    0.2134378393E+00
    0.2673830282E+00    0.1571264361E-01
    0.1140483791E+00    0.1557030252E+00
    0.1054768793E+00    0.1444915921E+00
    0.1003997398E+00    0.3704416936E-01
    0.3995210548E+00    0.3792261079E+00
    0.2697961054E+00    0.2406797617E+00
    0.3447801141E+00    0.5698378483E+00
    0.6495998932E+00    0.9793492009E-02
    0.1042195589E-01    0.1693899326E-01
    0.2361551315E+00    0.4606557615E+00
    0.9595292989E-01    0.2139393324E-01
    0.1609716831E+00    0.4575917672E-01
    0.2610640179E+00    0.3894828574E-01
    0.3936285241E+00    0.7440884448E+00
    0.2333279383E+00    0.1146009691E+00
