 initial energy :           30
 final energy:           30
 average energy level:    9.9972118200557638     
 energy distribution: 
           0   6.2592659999999994E-002
           1   6.0472239999999997E-002
           2   5.8367440000000000E-002
           3   5.6469699999999998E-002
           4   5.4476900000000002E-002
           5   5.2483139999999998E-002
           6   5.0293699999999997E-002
           7   4.8388040000000000E-002
           8   4.6404160000000000E-002
           9   4.4381720000000000E-002
          10   4.2379859999999998E-002
          11   4.0311720000000002E-002
          12   3.8297200000000003E-002
          13   3.6371239999999999E-002
          14   3.4272459999999998E-002
          15   3.2264139999999997E-002
          16   3.0287939999999999E-002
          17   2.8199380000000000E-002
          18   2.6125300000000001E-002
          19   2.4187480000000001E-002
          20   2.2237280000000002E-002
 initial energy :           60
 final energy:           60
 average energy level:    10.001243669975127     
 energy distribution: 
           0   7.6803899999999994E-002
           1   7.2216719999999998E-002
           2   6.7377439999999997E-002
           3   6.3148280000000001E-002
           4   5.9105699999999997E-002
           5   5.5086860000000001E-002
           6   5.1173759999999999E-002
           7   4.7880699999999998E-002
           8   4.4455780000000000E-002
           9   4.1275480000000003E-002
          10   3.8283539999999998E-002
          11   3.5378519999999997E-002
          12   3.2773600000000000E-002
          13   3.0303839999999999E-002
          14   2.7911940000000000E-002
          15   2.5694720000000001E-002
          16   2.3644140000000001E-002
          17   2.1634319999999999E-002
          18   1.9757360000000002E-002
          19   1.8097419999999999E-002
          20   1.6422840000000001E-002
 initial energy :           90
 final energy:           90
 average energy level:    10.000513873323056     
 energy distribution: 
           0   8.1648440000000003E-002
           1   7.5612879999999993E-002
           2   7.0184020000000000E-002
           3   6.4928920000000001E-002
           4   6.0146379999999999E-002
           5   5.5793219999999998E-002
           6   5.1577140000000000E-002
           7   4.7533180000000001E-002
           8   4.3890459999999999E-002
           9   4.0179279999999998E-002
          10   3.7144379999999998E-002
          11   3.4095319999999998E-002
          12   3.1569939999999998E-002
          13   2.8850700000000000E-002
          14   2.6462900000000001E-002
          15   2.4130160000000001E-002
          16   2.2078980000000002E-002
          17   2.0137780000000001E-002
          18   1.8414699999999999E-002
          19   1.6649500000000001E-002
          20   1.5229820000000000E-002
 initial energy :          120
 final energy:          120
 average energy level:    10.001981639960368     
 energy distribution: 
           0   8.3958340000000006E-002
           1   7.7471159999999997E-002
           2   7.1251360000000000E-002
           3   6.5930160000000002E-002
           4   6.0738199999999999E-002
           5   5.5936340000000001E-002
           6   5.1387040000000002E-002
           7   4.7284500000000000E-002
           8   4.3581059999999998E-002
           9   4.0063759999999997E-002
          10   3.6504040000000001E-002
          11   3.3508980000000001E-002
          12   3.0594300000000001E-002
          13   2.8176039999999999E-002
          14   2.5728100000000000E-002
          15   2.3593480000000000E-002
          16   2.1378520000000002E-002
          17   1.9520780000000001E-002
          18   1.7791160000000000E-002
          19   1.6184939999999998E-002
          20   1.4779459999999999E-002
 initial energy :          150
 final energy:          150
 average energy level:   -7.1771557564568846     
 energy distribution: 
           0   8.5624220000000001E-002
           1   7.8573039999999997E-002
           2   7.2050560000000000E-002
           3   6.6240040000000000E-002
           4   6.1037719999999997E-002
           5   5.6044900000000002E-002
           6   5.1251980000000003E-002
           7   4.7146580000000000E-002
           8   4.3341780000000003E-002
           9   3.9663219999999999E-002
          10   3.6112840000000000E-002
          11   3.3140480000000000E-002
          12   3.0444300000000001E-002
          13   2.7789080000000001E-002
          14   2.5210980000000001E-002
          15   2.3203320000000000E-002
          16   2.1101060000000001E-002
          17   1.9273100000000001E-002
          18   1.7528800000000001E-002
          19   1.5967060000000002E-002
          20   1.4375760000000000E-002
 initial energy :          180
 final energy:          180
 average energy level:   -4.3137749837245005     
 energy distribution: 
           0   8.6326360000000005E-002
           1   7.9162679999999999E-002
           2   7.2858539999999999E-002
           3   6.6728259999999998E-002
           4   6.1196059999999997E-002
           5   5.6046380000000000E-002
           6   5.1445959999999999E-002
           7   4.7079120000000002E-002
           8   4.3227920000000003E-002
           9   3.9405240000000001E-002
          10   3.6163580000000001E-002
          11   3.2842040000000003E-002
          12   3.0066039999999999E-002
          13   2.7588959999999999E-002
          14   2.5086359999999999E-002
          15   2.2884920000000000E-002
          16   2.0859720000000002E-002
          17   1.8888360000000000E-002
          18   1.7350600000000001E-002
          19   1.5679260000000000E-002
          20   1.4254740000000000E-002
 initial energy :          210
 final energy:          210
 average energy level:   -2.2687299460539725     
 energy distribution: 
           0   8.6582080000000006E-002
           1   7.9799919999999996E-002
           2   7.3056520000000000E-002
           3   6.6956639999999998E-002
           4   6.1486699999999998E-002
           5   5.6393640000000002E-002
           6   5.1611079999999997E-002
           7   4.7158859999999997E-002
           8   4.2854219999999998E-002
           9   3.9348960000000002E-002
          10   3.6114979999999998E-002
          11   3.2612839999999997E-002
          12   2.9875260000000001E-002
          13   2.7192660000000000E-002
          14   2.4846460000000001E-002
          15   2.2640859999999999E-002
          16   2.0742040000000000E-002
          17   1.8752459999999999E-002
          18   1.7177040000000001E-002
          19   1.5577080000000000E-002
          20   1.4202340000000001E-002
 initial energy :          240
 final energy:          240
 average energy level:  -0.73553360028932802     
 energy distribution: 
           0   8.7457980000000005E-002
           1   8.0102679999999996E-002
           2   7.3410719999999999E-002
           3   6.7366140000000005E-002
           4   6.1314760000000003E-002
           5   5.6116539999999999E-002
           6   5.1591440000000002E-002
           7   4.6884860000000000E-002
           8   4.2712779999999999E-002
           9   3.9277800000000002E-002
          10   3.6074280000000000E-002
          11   3.2815160000000003E-002
          12   2.9703400000000001E-002
          13   2.7065280000000001E-002
          14   2.4844999999999999E-002
          15   2.2474439999999998E-002
          16   2.0547300000000001E-002
          17   1.8827739999999999E-002
          18   1.7156260000000000E-002
          19   1.5336499999999999E-002
          20   1.4115640000000000E-002
 initial energy :          270
 final energy:          270
 average energy level:   0.45746798640619585     
 energy distribution: 
           0   8.7931400000000007E-002
           1   8.0442299999999994E-002
           2   7.4049100000000007E-002
           3   6.6975800000000002E-002
           4   6.1365320000000001E-002
           5   5.6221519999999997E-002
           6   5.1465200000000003E-002
           7   4.6881340000000001E-002
           8   4.2929219999999997E-002
           9   3.9015200000000000E-002
          10   3.5730379999999999E-002
          11   3.2590960000000002E-002
          12   2.9548999999999999E-002
          13   2.7137439999999999E-002
          14   2.4605700000000001E-002
          15   2.2505700000000000E-002
          16   2.0410040000000001E-002
          17   1.8636940000000001E-002
          18   1.6887960000000000E-002
          19   1.5500000000000000E-002
          20   1.3958099999999999E-002
 initial energy :          300
 final energy:          300
 average energy level:    1.4114642577707148     
 energy distribution: 
           0   8.8028720000000005E-002
           1   8.0718620000000005E-002
           2   7.3643559999999997E-002
           3   6.7515019999999995E-002
           4   6.1583420000000000E-002
           5   5.6225379999999998E-002
           6   5.1451299999999998E-002
           7   4.7129219999999999E-002
           8   4.2798099999999999E-002
           9   3.8954280000000001E-002
          10   3.5620699999999998E-002
          11   3.2466280000000000E-002
          12   2.9543679999999999E-002
          13   2.6999019999999999E-002
          14   2.4603099999999999E-002
          15   2.2315280000000000E-002
          16   2.0476399999999999E-002
          17   1.8367339999999999E-002
          18   1.6951460000000002E-002
          19   1.5581980000000000E-002
          20   1.4060540000000000E-002
